90	Sexy Satin Zipper Mini Sheath Short Sleeve Homecoming Dress	Sexy Satin Zipper Mini Sheath Short Sleeve Homecoming Dress - US$105.99	Sexy Satin Zipper Mini Sheath Short Sleeve Homecoming Dress is US$105.99 for sale on 9dresses.com. It's Column, Satin, Short, can be a Club Dress, Homecoming Dress.	D67277	55.0	<b>Silhouette: </b>Sheath, Column <br><b>Neckline: </b>V-neck <br><b>Sleeve Length: </b>Short Sleeve <br><b>Back Details: </b>Zip up, Zipper <br><b>Fabric: </b>Satin <br><b>Hemline/Train: </b>Mini, Short <br><b>Embellishment: </b><br><b>Waistline: </b>Dropped <br><b>Occasion: </b>Homecoming, Club <br><b>Body Shape: </b>Hourglass <br><b>Season: </b>Spring, Summer, Fall <br><b>Style: </b>Sexy, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Column V-neck Short Sleeve Zip up Satin Mini with Dropped waistline	235.53	105.99
114	Gorgeous Rhinestone Lace up Lace Floor Length Ball Gown Quinceanera Dress	Gorgeous Rhinestone Lace up Lace Floor Length Ball Gown Quinceanera Dress - US$171.89	Gorgeous Rhinestone Lace up Lace Floor Length Ball Gown Quinceanera Dress at a discount price - US$171.89 on 9dresses.com. It's Ball Gown, Lace, Floor Length, Rhinestone, can be a Quinceanera Dress, Sweet 16 Dress.	D83670	65.0	<b>Silhouette: </b>Ball Gown, Full Skirt <br><b>Neckline: </b>Sweetheart, Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless, Lace up <br><b>Fabric: </b>Taffeta, Lace, Sequined <br><b>Hemline/Train: </b>Floor Length <br><b>Embellishment: </b>Appliques, Rhinestone, Tiered <br><b>Waistline: </b>Natural <br><b>Occasion: </b>Sweet 16, Quinceanera <br><b>Body Shape: </b>Apple, Inverted Triangle, Pear, Hourglass, Rectangle, Triangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Disney Princess, Gorgeous, Cinderella, Fairytale, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Full Skirt Sweetheart Sleeveless Backless Sequined Floor Length Rhinestone with Natural waistline	491.11	171.89
119	Cinderella Lace Tiered Strapless Sleeveless Floor Length Sweet 16 Dress	Cinderella Lace Tiered Strapless Sleeveless Floor Length Sweet 16 Dress - US$157.69	Cinderella Lace Tiered Strapless Sleeveless Floor Length Sweet 16 Dress is US$157.69 for sale on 9dresses.com. It's Ball Gown, Taffeta, Floor Length, Rhinestone, can be a Quinceanera Dress, Sweet 16 Dress.	D00703	65.0	<b>Silhouette: </b>Ball Gown, Full Skirt <br><b>Neckline: </b>Strapless, Sweetheart <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless, Lace up <br><b>Fabric: </b>Taffeta, Lace <br><b>Hemline/Train: </b>Floor Length <br><b>Embellishment: </b>Rhinestone, Tiered <br><b>Waistline: </b>Natural <br><b>Occasion: </b>Sweet 16, Quinceanera <br><b>Body Shape: </b>Apple, Inverted Triangle, Pear, Hourglass, Rectangle, Triangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Disney Princess, Gorgeous, Cinderella, Fairytale, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Full Skirt Sweetheart Sleeveless Lace up Taffeta Floor Length Tiered with Natural waistline	450.54	157.69
129	Gorgeous Floor Length Strapless Lace Lace up Sleeveless Quinceanera Dress	Gorgeous Floor Length Strapless Lace Lace up Sleeveless Quinceanera Dress - US$171.99	Gorgeous Floor Length Strapless Lace Lace up Sleeveless Quinceanera Dress is US$171.99 for sale on 9dresses.com. It's Full Skirt, Taffeta, Floor Length, Lace, can be a Quinceanera Dress.	D61142	55.0	<b>Silhouette: </b>Ball Gown, Full Skirt <br><b>Neckline: </b>Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless, Lace up <br><b>Fabric: </b>Taffeta, Sequined <br><b>Hemline/Train: </b>Floor Length <br><b>Embellishment: </b>Appliques, Lace <br><b>Waistline: </b>Empire <br><b>Occasion: </b>Quinceanera <br><b>Body Shape: </b>Apple, Inverted Triangle, Pear, Full Figure, Petite, Rectangle, Triangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Gorgeous, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Ball Gown Strapless Sleeveless Lace up Taffeta Floor Length Lace with Empire waistline	382.2	171.99
135	Vintage Floor Length Taffeta Sweetheart Beading Backless Quinceanera Dress	Vintage Floor Length Taffeta Sweetheart Beading Backless Quinceanera Dress - US$145.49	Vintage Floor Length Taffeta Sweetheart Beading Backless Quinceanera Dress at a discount price - US$145.49 on 9dresses.com. It's Ball Gown, Sequined, Floor Length, Draped, can be a Quinceanera Dress.	D02281	55.0	<b>Silhouette: </b>Ball Gown, Full Skirt <br><b>Neckline: </b>Strapless, Sweetheart <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless, Lace up <br><b>Fabric: </b>Taffeta, Sequined <br><b>Hemline/Train: </b>Floor Length <br><b>Embellishment: </b>Beading, Ruched, Draped <br><b>Waistline: </b>Natural <br><b>Occasion: </b>Quinceanera <br><b>Body Shape: </b>Apple, Hourglass, Inverted Triangle, Pear, Rectangle, Triangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Antique, Vintage, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Full Skirt Strapless Sleeveless Backless Sequined Floor Length Draped with Natural waistline	323.31	145.49
161	Modest Floor Length Tiered Taffeta Backless Sweetheart Quinceanera Dress	Modest Floor Length Tiered Taffeta Backless Sweetheart Quinceanera Dress - US$160.99	Modest Floor Length Tiered Taffeta Backless Sweetheart Quinceanera Dress at a discount price - US$160.99 on 9dresses.com. It's Full Skirt, Taffeta, Floor Length, Tiered, can be a Quinceanera Dress, Sweet 16 Dress.	D36266	65.0	<b>Silhouette: </b>Ball Gown, Full Skirt <br><b>Neckline: </b>Sweetheart, Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless, Lace up <br><b>Fabric: </b>Taffeta <br><b>Hemline/Train: </b>Floor Length <br><b>Embellishment: </b>Beaded, Tiered <br><b>Waistline: </b>Natural <br><b>Occasion: </b>Sweet 16, Quinceanera <br><b>Body Shape: </b>Apple, Inverted Triangle, Pear, Hourglass, Rectangle, Triangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Disney Princess, Cinderella, Fairytale, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Ball Gown Strapless Sleeveless Backless Taffeta Floor Length Tiered with Natural waistline	459.97	160.99
165	Vintage Ball Gown Edging Floor Length Strapless Zip up Quinceanera Dress	Vintage Ball Gown Edging Floor Length Strapless Zip up Quinceanera Dress - US$150.99	Vintage Ball Gown Edging Floor Length Strapless Zip up Quinceanera Dress at a discount price - US$150.99 on 9dresses.com. It's Ball Gown, Lace, Floor Length, Flower, can be a Prom Dress, Quinceanera Dress, Sweet 16 Dress.	D59165	55.0	<b>Silhouette: </b>Ball Gown, Full Skirt <br><b>Neckline: </b>Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless, Zip up, Zipper <br><b>Fabric: </b>Tulle, Elastic Woven Satin, Lace <br><b>Hemline/Train: </b>Floor Length <br><b>Embellishment: </b>Appliques, Flower, Edging <br><b>Waistline: </b>Natural <br><b>Occasion: </b>Sweet 16, Prom, Quinceanera <br><b>Body Shape: </b>Apple, Inverted Triangle, Pear, Hourglass, Rectangle, Triangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Disney Princess, Antique, Vintage, Cinderella, Fairytale, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Full Skirt Strapless Sleeveless Backless Elastic Woven Satin Floor Length Appliques with Natural waistline	335.53	150.99
168	Classic Tulle Floor Length Sleeveless Ball Gown Draped Quinceanera Dress	Classic Tulle Floor Length Sleeveless Ball Gown Draped Quinceanera Dress - US$174.49	Classic Tulle Floor Length Sleeveless Ball Gown Draped Quinceanera Dress is US$174.49 for sale on 9dresses.com. It's Ball Gown, Tulle, Floor Length, Beaded, can be a Prom Dress, Quinceanera Dress.	D58140	40.0	<b>Silhouette: </b>Ball Gown, Full Skirt <br><b>Neckline: </b>Strapless, Sweetheart <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless, Lace up <br><b>Fabric: </b>Tulle, Satin, Lace <br><b>Hemline/Train: </b>Floor Length <br><b>Embellishment: </b>Appliques, Beading, Beaded, Ruched, Edging, Draped <br><b>Waistline: </b>Natural <br><b>Occasion: </b>Prom, Quinceanera <br><b>Body Shape: </b>Apple, Inverted Triangle, Pear, Hourglass, Rectangle, Triangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Classic, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Full Skirt Sweetheart Sleeveless Lace up Lace Floor Length Beaded with Natural waistline	290.82	174.49
230	Sexy Sleeveless Sweetheart Brush Train Trumpet Ruched Homecoming Dress	Sexy Sleeveless Sweetheart Brush Train Trumpet Ruched Homecoming Dress - US$161.99	Sexy Sleeveless Sweetheart Brush Train Trumpet Ruched Homecoming Dress is US$161.99 for sale on 9dresses.com. It's Fit-n-Flare, Silk Like Satin, Brush Train, Ruched, can be a Homecoming Dress, Prom Dress.	D39230	45.0	<b>Silhouette: </b>Trumpet, Fit-n-Flare <br><b>Neckline: </b>Strapless, Sweetheart <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Zip up, Zipper <br><b>Fabric: </b>Silk Like Satin <br><b>Hemline/Train: </b>Mini, Sweep Train, Asymmetric, Short, Brush Train <br><b>Embellishment: </b>Ruched, Draped <br><b>Waistline: </b>Dropped <br><b>Occasion: </b>Prom, Homecoming <br><b>Body Shape: </b>Hourglass <br><b>Season: </b>Spring, Summer, Fall <br><b>Style: </b>Sexy, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Trumpet Strapless Sleeveless Zipper Silk Like Satin Brush Train Draped with Dropped waistline	294.53	161.99
233	Gorgeous Sleeveless Strapless Silk Like Satin Ruched Column Prom Dress	Gorgeous Sleeveless Strapless Silk Like Satin Ruched Column Prom Dress - US$156.49	Gorgeous Sleeveless Strapless Silk Like Satin Ruched Column Prom Dress at a discount price - US$156.49 on 9dresses.com. It's Column, Silk Like Satin, Court Train, Paillette, can be a Prom Dress.	D28204	50.0	<b>Silhouette: </b>Sheath, Column <br><b>Neckline: </b>Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b><br><b>Fabric: </b>Silk Like Satin <br><b>Hemline/Train: </b>Court Train <br><b>Embellishment: </b>Sequin, Ruched, Paillette, Draped <br><b>Waistline: </b>Dropped <br><b>Occasion: </b>Prom <br><b>Body Shape: </b>Hourglass <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Gorgeous, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.50Kg	Column Strapless Sleeveless Silk Like Satin Court Train Draped with Dropped waistline	312.98	156.49
239	Elegant Silk Like Satin Trumpet Lace Sweep Train Sweetheart Prom Dress	Elegant Silk Like Satin Trumpet Lace Sweep Train Sweetheart Prom Dress - US$177.99	Elegant Silk Like Satin Trumpet Lace Sweep Train Sweetheart Prom Dress is US$177.99 for sale on 9dresses.com. It's Fit-n-Flare, Silk Like Satin, Brush Train, Rhinestone, can be a Prom Dress.	D84548	55.0	<b>Silhouette: </b>Trumpet, Fit-n-Flare <br><b>Neckline: </b>Strapless, Sweetheart <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless, Zip up, Zipper <br><b>Fabric: </b>Silk Like Satin <br><b>Hemline/Train: </b>Sweep Train, Brush Train <br><b>Embellishment: </b>Lace, Rhinestone <br><b>Waistline: </b>Empire <br><b>Occasion: </b>Prom <br><b>Body Shape: </b>Full Figure, Petite, Apple, Inverted Triangle, Rectangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Elegant, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Fit-n-Flare Sweetheart Sleeveless Zipper Silk Like Satin Sweep Train Lace with Empire waistline	395.53	177.99
245	Sexy Satin Sleeveless Mini Strapless Rhinestone Party Dress	Sexy Satin Sleeveless Mini Strapless Rhinestone Party Dress - US$86.49	Sexy Satin Sleeveless Mini Strapless Rhinestone Party Dress is US$86.49 for sale on 9dresses.com. It's Sheath, Satin, Mini, Rhinestone, can be a Club Dress, Cocktail Dress, Homecoming Dress, Party Dress.	D28893	40.0	<b>Silhouette: </b>Sheath, Column <br><b>Neckline: </b>Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Zip up, Zipper <br><b>Fabric: </b>Satin <br><b>Hemline/Train: </b>Mini, Short <br><b>Embellishment: </b>Beaded, Flower, Rhinestone, Ruched, Draped <br><b>Waistline: </b>Empire <br><b>Occasion: </b>Cocktail, Party, Homecoming, Club <br><b>Body Shape: </b>Full Figure, Petite, Apple, Inverted Triangle, Rectangle <br><b>Season: </b>Spring, Summer, Fall <br><b>Style: </b>Sexy, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Column Strapless Sleeveless Zipper Satin Mini Rhinestone with Empire waistline	144.15	86.49
