\\server2\Temp\zxs\temp\282c9735-3a41-41cb-aedf-d9f1def6d558.jpg	222777	5967	6622	7587	9238	12737	34318	
\\server2\Temp\zxs\temp\1403-back1290551655.jpg	256022	5701	6443	7548	9289	13448	36139	
