28	4
48	4
245	4
304	4
309	4
321	5
333	4
390	4
400	4
402	5
418	5
421	5
427	4
431	6
435	5
440	4
442	4
444	4
449	5
460	4
468	6
486	6
491	6
497	4
499	6
501	4
502	6
511	5
554	5
561	8
567	6
593	6
598	7
603	8
607	7
614	5
623	6
625	7
626	7
631	6
632	4
637	5
638	6
643	6
648	6
649	7
656	4
658	6
660	4
667	4
668	4
670	5
674	6
681	5
704	6
707	4
713	5
716	4
745	6
836	4
838	5
853	6
896	7
905	7
913	4
915	5
916	4
920	4
923	7
928	5
946	4
949	7
954	5
956	4
957	4
959	4
960	6
968	4
977	6
985	5
1011	5
1030	4
1043	5
1047	4
1097	5
1098	5
1099	5
1102	4
1104	7
1105	5
1106	5
1107	6
1108	6
1110	6
1112	6
1114	6
1115	4
1116	6
1120	6
1123	6
1147	5
1162	5
1209	9
1212	9
1214	5
1223	6
1232	4
1242	4
1249	5
1253	5
1257	5
1258	4
1278	4
1280	4
1284	4
1308	5
1324	4
1388	6
1563	4
1665	4
1667	4
1672	4
1691	5
1692	6
1695	5
1696	5
1697	8
1715	5
1718	4
1719	4
1756	5
1764	4
1773	6
1780	5
1796	6
1799	5
1802	4
1837	4
1859	5
1888	5
1910	4
1913	4
1921	4
1952	6
1957	5
1967	4
1994	4
2000	5
2021	4
2040	5
2043	4
2051	7
2066	5
2080	5
2089	4
2103	5
2111	5
2125	4
2155	4
2168	5
2184	5
2208	5
2229	6
2248	5
2249	4
2253	6
2271	5
2289	6
2296	5
2305	5
2342	5
2373	4
2383	5
2669	5
2675	5
2678	5
2697	5
2701	5
2704	4
2705	5
2711	5
2714	6
2716	4
2725	5
2728	5
2729	6
2731	4
2733	5
2736	5
2742	4
2756	5
2757	4
2758	6
2762	6
2765	5
2769	5
2770	6
2775	5
2832	6
2880	6
2944	6
2972	6
9353	5
9356	7
9360	4
9361	6
9363	5
9380	4
9390	4
9428	6
9447	5
9458	5
9461	4
9473	5
9486	5
9499	4
9504	4
9507	5
9515	5
9540	5
9555	5
9560	6
9578	5
9581	5
9589	5
9592	5
9595	5
9603	5
9609	4
9615	5
9621	5
9623	4
9635	4
9640	5
9641	4
9643	5
9646	4
9650	5
9665	5
9668	5
9675	5
9683	5
9690	5
9701	5
9712	4
9717	5
9720	4
9738	4
9740	5
9774	4
11008	5
11024	5
11027	5
11034	5
11041	5
11047	5
11052	5
11071	6
11076	5
11086	5
11090	5
11101	7
11104	4
11113	5
11125	5
